model,task,output_format,error_rate
mpt,character,xml,76
mpt,character,json,45
mpt,character,yaml,65
mpt,enemy,xml,76
mpt,enemy,json,41
mpt,enemy,yaml,51
mpt,dialogue,xml,86
mpt,dialogue,json,84
mpt,dialogue,yaml,86
mpt,quest,xml,42
mpt,quest,json,32
mpt,quest,yaml,37
mpt,story,xml,49
mpt,story,json,51
mpt,story,yaml,67
llama-2,character,xml,86
llama-2,character,json,89
llama-2,character,yaml,81
llama-2,enemy,xml,85
llama-2,enemy,json,94
llama-2,enemy,yaml,91
llama-2,dialogue,xml,85
llama-2,dialogue,json,94
llama-2,dialogue,yaml,83
llama-2,quest,xml,89
llama-2,quest,json,97
llama-2,quest,yaml,88
llama-2,story,xml,94
llama-2,story,json,97
llama-2,story,yaml,94
gemini-pro,character,xml,0
gemini-pro,character,json,0
gemini-pro,character,yaml,2
gemini-pro,enemy,xml,2
gemini-pro,enemy,json,1
gemini-pro,enemy,yaml,1
gemini-pro,dialogue,xml,1
gemini-pro,dialogue,json,0
gemini-pro,dialogue,yaml,7
gemini-pro,quest,xml,0
gemini-pro,quest,json,1
gemini-pro,quest,yaml,15
gemini-pro,story,xml,5
gemini-pro,story,json,4
gemini-pro,story,yaml,13
gpt-4,character,xml,1
gpt-4,character,json,0
gpt-4,character,yaml,1
gpt-4,enemy,xml,12
gpt-4,enemy,json,11
gpt-4,enemy,yaml,12
gpt-4,dialogue,xml,0
gpt-4,dialogue,json,0
gpt-4,dialogue,yaml,11
gpt-4,quest,xml,1
gpt-4,quest,json,0
gpt-4,quest,yaml,8
gpt-4,story,xml,4
gpt-4,story,json,3
gpt-4,story,yaml,34
falcon,character,xml,88
falcon,character,json,87
falcon,character,yaml,81
falcon,enemy,xml,91
falcon,enemy,json,92
falcon,enemy,yaml,91
falcon,dialogue,xml,73
falcon,dialogue,json,90
falcon,dialogue,yaml,73
falcon,quest,xml,87
falcon,quest,json,95
falcon,quest,yaml,88
falcon,story,xml,84
falcon,story,json,92
falcon,story,yaml,85
gpt-3.5-turbo,character,xml,10
gpt-3.5-turbo,character,json,3
gpt-3.5-turbo,character,yaml,8
gpt-3.5-turbo,enemy,xml,0
gpt-3.5-turbo,enemy,json,1
gpt-3.5-turbo,enemy,yaml,0
gpt-3.5-turbo,dialogue,xml,47
gpt-3.5-turbo,dialogue,json,6
gpt-3.5-turbo,dialogue,yaml,3
gpt-3.5-turbo,quest,xml,13
gpt-3.5-turbo,quest,json,54
gpt-3.5-turbo,quest,yaml,7
gpt-3.5-turbo,story,xml,48
gpt-3.5-turbo,story,json,65
gpt-3.5-turbo,story,yaml,10
palm,character,xml,100
palm,character,json,100
palm,character,yaml,100
palm,enemy,xml,100
palm,enemy,json,100
palm,enemy,yaml,100
palm,dialogue,xml,4
palm,dialogue,json,33
palm,dialogue,yaml,100
palm,quest,xml,100
palm,quest,json,100
palm,quest,yaml,100
palm,story,xml,100
palm,story,json,100
palm,story,yaml,100
