task,model,format,file,error,error_message
character,falcon,json,27.txt,empty_response,"Expecting ',' delimiter: line 21 column 2 (char 544)"
character,falcon,json,34.txt,empty_response,No JSON content found
character,falcon,json,54.txt,empty_response,No JSON content found
character,falcon,json,95.txt,empty_response,Extra data: line 9 column 2 (char 141)
character,falcon,json,99.txt,empty_response,No JSON content found
character,falcon,xml,11.txt,empty_response,No XML content found
character,falcon,xml,14.txt,empty_response,No XML content found
character,falcon,xml,17.txt,empty_response,No XML content found
character,falcon,xml,25.txt,empty_response,No XML content found
character,falcon,xml,29.txt,empty_response,No XML content found
character,falcon,xml,31.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,32.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 21"
character,falcon,xml,33.txt,empty_response,No XML content found
character,falcon,xml,34.txt,empty_response,No XML content found
character,falcon,xml,35.txt,empty_response,No XML content found
character,falcon,xml,39.txt,incorrect_syntax,"unclosed token: line 14, column 2"
character,falcon,xml,4.txt,empty_response,No XML content found
character,falcon,xml,40.txt,empty_response,No XML content found
character,falcon,xml,41.txt,empty_response,No XML content found
character,falcon,xml,42.txt,empty_response,No XML content found
character,falcon,xml,43.txt,empty_response,No XML content found
character,falcon,xml,44.txt,empty_response,No XML content found
character,falcon,xml,50.txt,empty_response,No XML content found
character,falcon,xml,51.txt,empty_response,No XML content found
character,falcon,xml,52.txt,empty_response,No XML content found
character,falcon,xml,53.txt,empty_response,No XML content found
character,falcon,xml,54.txt,empty_response,No XML content found
character,falcon,xml,55.txt,empty_response,No XML content found
character,falcon,xml,58.txt,empty_response,No XML content found
character,falcon,xml,6.txt,incorrect_syntax,"unclosed token: line 1, column 0"
character,falcon,xml,62.txt,incorrect_syntax,"mismatched tag: line 7, column 44"
character,falcon,xml,64.txt,empty_response,No XML content found
character,falcon,xml,65.txt,empty_response,No XML content found
character,falcon,xml,66.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 28"
character,falcon,xml,69.txt,empty_response,No XML content found
character,falcon,xml,70.txt,empty_response,No XML content found
character,falcon,xml,71.txt,empty_response,No XML content found
character,falcon,xml,72.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 24"
character,falcon,xml,73.txt,incorrect_syntax,"mismatched tag: line 11, column 33"
character,falcon,xml,74.txt,empty_response,No XML content found
character,falcon,xml,79.txt,empty_response,No XML content found
character,falcon,xml,81.txt,empty_response,No XML content found
character,falcon,xml,83.txt,empty_response,No XML content found
character,falcon,xml,84.txt,empty_response,No XML content found
character,falcon,xml,88.txt,empty_response,No XML content found
character,falcon,xml,89.txt,empty_response,No XML content found
character,falcon,xml,90.txt,empty_response,No XML content found
character,falcon,xml,91.txt,incorrect_syntax,"no element found: line 21, column 0"
character,falcon,xml,92.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 0"
character,falcon,xml,96.txt,empty_response,No XML content found
character,falcon,xml,98.txt,empty_response,No XML content found
character,falcon,yaml,10.txt,empty_response,No YAML content found
character,falcon,yaml,13.txt,empty_response,No YAML content found
character,falcon,yaml,15.txt,empty_response,No YAML content found
character,falcon,yaml,16.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 9:
    Template:
            ^"
character,falcon,yaml,17.txt,empty_response,No YAML content found
character,falcon,yaml,2.txt,empty_response,No YAML content found
character,falcon,yaml,20.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      character:
      ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 4:
       background: She was orphaned at  ... 
       ^"
character,falcon,yaml,22.txt,empty_response,No YAML content found
character,falcon,yaml,23.txt,empty_response,No YAML content found
character,falcon,yaml,24.txt,empty_response,No YAML content found
character,falcon,yaml,25.txt,empty_response,No YAML content found
character,falcon,yaml,26.txt,empty_response,No YAML content found
character,falcon,yaml,28.txt,empty_response,No YAML content found
character,falcon,yaml,29.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,3.txt,empty_response,No YAML content found
character,falcon,yaml,32.txt,empty_response,No YAML content found
character,falcon,yaml,33.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 6, column 6:
    Error: incorrect_syntax: while parsin ... 
         ^"
character,falcon,yaml,37.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 5, column 1:
    ```
    ^"
character,falcon,yaml,4.txt,empty_response,No YAML content found
character,falcon,yaml,41.txt,empty_response,No YAML content found
character,falcon,yaml,43.txt,empty_response,No YAML content found
character,falcon,yaml,48.txt,empty_response,No YAML content found
character,falcon,yaml,51.txt,empty_response,No YAML content found
character,falcon,yaml,52.txt,empty_response,No YAML content found
character,falcon,yaml,53.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 13, column 24:
    Error: key_completeness: The key 'game' is missing.
                           ^"
character,falcon,yaml,54.txt,empty_response,No YAML content found
character,falcon,yaml,56.txt,empty_response,No YAML content found
character,falcon,yaml,6.txt,empty_response,No YAML content found
character,falcon,yaml,61.txt,empty_response,No YAML content found
character,falcon,yaml,62.txt,empty_response,No YAML content found
character,falcon,yaml,65.txt,empty_response,No YAML content found
character,falcon,yaml,66.txt,empty_response,No YAML content found
character,falcon,yaml,69.txt,empty_response,No YAML content found
character,falcon,yaml,72.txt,empty_response,No YAML content found
character,falcon,yaml,73.txt,empty_response,No YAML content found
character,falcon,yaml,79.txt,empty_response,No YAML content found
character,falcon,yaml,81.txt,empty_response,No YAML content found
character,falcon,yaml,82.txt,empty_response,No YAML content found
character,falcon,yaml,83.txt,empty_response,No YAML content found
character,falcon,yaml,88.txt,empty_response,No YAML content found
character,falcon,yaml,89.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 14:
      ""character"": {
                 ^"
character,falcon,yaml,9.txt,empty_response,No YAML content found
character,falcon,yaml,91.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 4, column 3:
      character:
      ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 11, column 3:
      - name: ""Jake""
      ^"
character,falcon,yaml,93.txt,empty_response,No YAML content found
character,falcon,yaml,94.txt,empty_response,No YAML content found
character,falcon,yaml,95.txt,empty_response,No YAML content found
character,falcon,yaml,97.txt,empty_response,No YAML content found
character,gemini-pro,json,18.txt,empty_response,No JSON content found
character,gemini-pro,json,63.txt,empty_response,Expecting value: line 2 column 1 (char 1)
character,gemini-pro,yaml,25.txt,empty_response,No YAML content found
character,gemini-pro,yaml,70.txt,empty_response,No YAML content found
character,gpt-3.5-turbo,xml,22.txt,empty_response,No XML content found
