task,model,format,file,error,error_message
character,falcon,json,27.txt,key_completeness,The key 'game' is missing.
character,falcon,json,34.txt,key_completeness,The key 'game' is missing.
character,falcon,json,37.txt,key_completeness,The key 'game' is not a dictionary.
character,falcon,json,54.txt,key_completeness,The key 'game' is missing.
character,falcon,json,95.txt,key_completeness,The key 'game' is missing.
character,falcon,json,99.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,11.txt,incorrect_syntax,"mismatched tag: line 11, column 6"
character,falcon,xml,14.txt,incorrect_syntax,"mismatched tag: line 10, column 39"
character,falcon,xml,15.txt,incorrect_syntax,"not well-formed (invalid token): line 22, column 0"
character,falcon,xml,17.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,25.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,27.txt,incorrect_syntax,"mismatched tag: line 10, column 2"
character,falcon,xml,28.txt,incorrect_syntax,"not well-formed (invalid token): line 20, column 0"
character,falcon,xml,29.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,3.txt,key_completeness,The key 'character' is missing.
character,falcon,xml,30.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,31.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,32.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,33.txt,incorrect_syntax,"mismatched tag: line 4, column 12"
character,falcon,xml,34.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,35.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 36"
character,falcon,xml,36.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 2"
character,falcon,xml,39.txt,incorrect_syntax,"unclosed token: line 13, column 1"
character,falcon,xml,4.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,40.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 0"
character,falcon,xml,41.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 0"
character,falcon,xml,42.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,43.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,44.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,47.txt,incorrect_syntax,"not well-formed (invalid token): line 18, column 0"
character,falcon,xml,50.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 0"
character,falcon,xml,51.txt,incorrect_syntax,"syntax error: line 2, column 0"
character,falcon,xml,52.txt,incorrect_syntax,"no element found: line 17, column 0"
character,falcon,xml,53.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 3"
character,falcon,xml,54.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 12"
character,falcon,xml,55.txt,incorrect_syntax,"junk after document element: line 2, column 0"
character,falcon,xml,58.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,6.txt,incorrect_syntax,"unclosed token: line 2, column 0"
character,falcon,xml,62.txt,incorrect_syntax,"XML declaration not well-formed: line 1, column 6"
character,falcon,xml,64.txt,incorrect_syntax,"mismatched tag: line 9, column 3"
character,falcon,xml,65.txt,incorrect_syntax,"mismatched tag: line 9, column 20"
character,falcon,xml,66.txt,incorrect_syntax,"mismatched tag: line 17, column 2"
character,falcon,xml,69.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,70.txt,incorrect_syntax,"not well-formed (invalid token): line 17, column 0"
character,falcon,xml,71.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,72.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,73.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 38"
character,falcon,xml,74.txt,incorrect_syntax,"not well-formed (invalid token): line 12, column 0"
character,falcon,xml,77.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 0"
character,falcon,xml,78.txt,incorrect_syntax,"not well-formed (invalid token): line 22, column 0"
character,falcon,xml,79.txt,incorrect_syntax,"mismatched tag: line 5, column 58"
character,falcon,xml,81.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 0"
character,falcon,xml,83.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,84.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,88.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,89.txt,incorrect_syntax,"unclosed token: line 1, column 0"
character,falcon,xml,9.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,90.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,91.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,92.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,93.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 1"
character,falcon,xml,96.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 0"
character,falcon,xml,98.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,yaml,10.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,13.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 4:
    age: 30
       ^"
character,falcon,yaml,15.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 10:
    age      : Age or description of the char ... 
             ^"
character,falcon,yaml,16.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 1, column 1:
    ```yaml
    ^"
character,falcon,yaml,17.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 2, column 1:
    ```YAML
    ^"
character,falcon,yaml,2.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 7, column 36:
        physical_appearance: hair_color: black eyes_color: green height ... 
                                       ^"
character,falcon,yaml,20.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 8, column 15:
            height: 5'7''
                  ^"
character,falcon,yaml,22.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 1, column 1:
    `game`
    ^"
character,falcon,yaml,23.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 3, column 10:
        age: `bold`|age or `bold|age` in the  ... 
             ^"
character,falcon,yaml,24.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,25.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 20, column 5:
        YAML.
        ^
could not find expected ':'
  in ""<unicode string>"", line 21, column 5:
        first_name: ~
        ^"
character,falcon,yaml,26.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 4:
    age: 23
       ^"
character,falcon,yaml,28.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,29.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 13, column 7:
          place_of_birth: Los Angeles
          ^"
character,falcon,yaml,3.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 8:
        age: age of the character(exact)
           ^"
character,falcon,yaml,32.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 2, column 3:
    - | Name | Age | Background | Firs ... 
      ^
expected a comment or a line break, but found 'N'
  in ""<unicode string>"", line 2, column 5:
    - | Name | Age | Background | First  ... 
        ^"
character,falcon,yaml,33.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 3:
    - age: 30
      ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 11, column 3:
      - (species) Dragonborn
      ^"
character,falcon,yaml,37.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 5:
    game:
        ^"
character,falcon,yaml,4.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 5:
    game:
        ^"
character,falcon,yaml,41.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      name: Jane
      ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 25, column 3:
      - physical_appearance
      ^"
character,falcon,yaml,43.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 11, column 22:
    Output in YAML format:
                         ^"
character,falcon,yaml,45.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 11, column 1:
    ```
    ^"
character,falcon,yaml,48.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,51.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,52.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,53.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,54.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,56.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    character_name: 
    ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 14, column 1:
    - name: <name of current character>
    ^"
character,falcon,yaml,6.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 1, column 1:
    character:
    ^
but found another document
  in ""<unicode string>"", line 4, column 1:
    ---
    ^"
character,falcon,yaml,61.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 9:
        name: John Smith
            ^"
character,falcon,yaml,62.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,65.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 2, column 1:
    ```
    ^"
character,falcon,yaml,66.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,69.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 1, column 1:
    ```
    ^"
character,falcon,yaml,72.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 4:
      1:
       ^"
character,falcon,yaml,73.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 19, column 1:
    ```
    ^"
character,falcon,yaml,79.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    ```yaml
    ^"
character,falcon,yaml,81.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 5, column 1:
    background:.
    ^
could not find expected ':'
  in ""<unicode string>"", line 6, column 1:
    first_name: ~.
    ^"
character,falcon,yaml,82.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    ```
    ^"
