model,error,error_message
falcon,empty_response,964
falcon,incorrect_syntax,333
falcon,key_completeness,104
gemini-pro,empty_response,26
gemini-pro,incorrect_syntax,26
gemini-pro,key_completeness,113
gpt-3.5-turbo,empty_response,134
gpt-3.5-turbo,incorrect_syntax,141
gpt-3.5-turbo,key_completeness,87
gpt-4,empty_response,46
gpt-4,incorrect_syntax,52
gpt-4,key_completeness,99
llama-2,empty_response,652
llama-2,incorrect_syntax,695
llama-2,key_completeness,13
mpt,empty_response,838
mpt,incorrect_syntax,50
mpt,key_completeness,72
palm,empty_response,1334
palm,incorrect_syntax,3
