task,model,format,file,error,error_message
character,falcon,json,27.txt,empty_response,Expecting property name enclosed in double quotes: line 15 column 35 (char 512)
character,falcon,json,54.txt,empty_response,Expecting property name enclosed in double quotes: line 16 column 36 (char 541)
character,falcon,xml,39.txt,incorrect_syntax,"mismatched tag: line 21, column 6"
character,falcon,xml,41.txt,incorrect_syntax,"mismatched tag: line 14, column 3"
character,falcon,xml,51.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,54.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 21"
character,falcon,xml,72.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 21"
character,falcon,xml,93.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 21"
character,falcon,yaml,10.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 12, column 7:
          height: 1.8
          ^"
character,falcon,yaml,15.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: Eye color
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: Height in feet or inches
          ^"
character,falcon,yaml,16.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 7:
          - eye_color: eye color (string)
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 12, column 7:
          height: 1.85  # height in meters ... 
          ^"
character,falcon,yaml,24.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: deep green
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 5.7
          ^"
character,falcon,yaml,25.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 13, column 7:
          - eye_color: ""eye color""
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 14, column 7:
          hair_color: ""hair color""
          ^"
character,falcon,yaml,3.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 7:
          - eye_color: eye-color
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          hair_color: hair-color
          ^"
character,falcon,yaml,32.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 8, column 5:
        - eye_color: Eye Color
        ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 10, column 5:
        height: Height (in float value)
        ^"
character,falcon,yaml,37.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: eye_color_value
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: height_in_float
          ^"
character,falcon,yaml,41.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 10, column 24:
          - eye_color: type: string
                           ^"
character,falcon,yaml,43.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,45.txt,key_completeness,The key 'game' is not a dictionary.
character,falcon,yaml,52.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 9:
            - eye_color: ""blue""
            ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 9:
            height: 1.85
            ^"
character,falcon,yaml,53.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: eye_color_value
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 1.85 # or desired float  ... 
          ^"
character,falcon,yaml,56.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    character_name:
    ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 14, column 1:
    - name: <name of current character>
    ^"
character,falcon,yaml,61.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,65.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 18, column 1:
    ```
    ^"
character,falcon,yaml,88.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 18, column 7:
        - height: '5\'10""'
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 18, column 19:
        - height: '5\'10""'
                      ^"
character,falcon,yaml,9.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: ""eye color""
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 10, column 7:
          hair_color: ""hair color""
          ^"
character,falcon,yaml,91.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      character:
      ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 9, column 3:
      - id: Anna
      ^"
character,falcon,yaml,93.txt,key_completeness,The key 'character' is missing.
character,falcon,yaml,94.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 9, column 47:
     ... lor: eye color `(e.g. `eye_color: green`)`
                                         ^"
character,falcon,yaml,95.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: 0.5 (blue)
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 10, column 7:
          hair_color: 0.5 (white)
          ^"
character,gemini-pro,yaml,70.txt,key_completeness,The key 'game' is not a dictionary.
character,llama-2,xml,18.txt,key_completeness,The key 'character' is missing.
character,llama-2,xml,46.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 18"
character,llama-2,xml,80.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 12"
character,llama-2,xml,87.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 23"
character,llama-2,xml,95.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 23"
character,llama-2,yaml,20.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 1.75
          ^"
character,llama-2,yaml,39.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,41.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 18, column 1:
    ```
    ^"
character,llama-2,yaml,42.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 13, column 7:
          - eye_color: brown
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 15, column 7:
          height: 6'0""
          ^"
character,llama-2,yaml,44.txt,incorrect_syntax,"expected '<document start>', but found '<scalar>'
  in ""<unicode string>"", line 35, column 5:
    ... (Repeat Example1 for 29 more tim ... 
        ^"
